booking_id,client_name,city,month,service_type,fnb_order,group_size,duration_hours,revenue_eur,supply_cost_eur,satisfaction_score,profit_eur
71,Sarah Pärtzelt,Frankfurt,11,Couples Session,Pizza,10,2,88,80,2,8
72,Heinz Dieter Conradi,Berlin,5,Group Session,None,2,1,704,108,3,596
73,Nada Schaaf,Darmstadt,9,Birthday Party,Coffee,3,2,745,101,1,644
74,Hellmut Hornich,Munich,8,Group Session,Coca Cola,2,1,248,62,3,186
75,Slavica Dippel B.Eng.,Darmstadt,11,Group Session,Coca Cola,7,2,530,42,2,488
76,Leonid Peukert,Munich,4,Couples Session,Champagne,6,4,439,105,7,334
77,Ole Roskoth-Röhricht,Munich,5,Couples Session,Coffee,6,3,298,134,10,164
78,Wolf Hendriks,Hamburg,8,Group Session,None,9,1,723,22,8,701
79,Gereon Müller B.Sc.,Hamburg,2,Group Session,Pizza,6,4,235,87,10,148
80,Katherina Sauer B.A.,Frankfurt,12,Couples Session,Coca Cola,3,4,501,73,8,428
81,Friedhold Tschentscher,Darmstadt,5,Birthday Party,None,4,1,710,83,3,627
82,Sina Schacht,Munich,4,Birthday Party,Champagne,10,1,783,37,10,746
83,Rosi Renner-Gotthard,Frankfurt,5,Group Session,Coca Cola,9,4,533,109,7,424
84,Heinrich Wilmsen,Berlin,6,Birthday Party,Coffee,7,1,302,85,6,217
85,Ellinor Rosenow,Munich,6,Group Session,None,9,1,168,47,10,121
86,Ramona Reinhardt-Hellwig,Berlin,9,Private Spa,Pizza,1,3,182,20,1,162
87,Ines Jähn,Frankfurt,2,Couples Session,Champagne,1,3,223,32,3,191
88,Rosa-Maria Graf,Hamburg,3,Group Session,None,1,1,206,118,8,88
89,Karl-Friedrich Rust B.Eng.,Frankfurt,3,Group Session,Coca Cola,3,4,683,132,8,551
90,Dietrich Hartmann,Berlin,4,Group Session,Pizza,6,2,473,127,2,346
91,Christos Steckel,Munich,7,Birthday Party,Coca Cola,8,1,439,62,7,377
92,Helmuth Seifert-Gumprich,Darmstadt,12,Group Session,Coca Cola,9,1,519,125,8,394
93,Hannelore Schuster-Schwital,Frankfurt,3,Private Spa,Coffee,8,2,402,146,1,256
94,Lorenz Röhrdanz,Munich,12,Birthday Party,Coffee,3,2,223,116,2,107
95,Hans Peter Bauer B.Sc.,Hamburg,4,Couples Session,Coca Cola,10,2,333,109,5,224
96,Sylvana Bolzmann B.A.,Hamburg,2,Private Spa,Champagne,9,3,363,116,6,247
97,Traudel Walter,Hamburg,7,Group Session,Coffee,3,3,740,45,1,695
98,Jiri Plath-Hamann,Munich,7,Private Spa,Coffee,6,3,166,142,9,24
99,Leo Bien,Frankfurt,6,Group Session,Coffee,10,4,334,77,10,257
100,Beatrix Zahn-Löwer,Munich,9,Private Spa,Coffee,6,1,646,61,10,585
101,Univ.Prof. Uta Rudolph,Munich,8,Birthday Party,Pizza,3,3,695,135,4,560
102,Karl-Peter Hahn,Darmstadt,7,Group Session,Coca Cola,7,4,694,38,6,656
103,Thea Wohlgemut,Darmstadt,1,Birthday Party,Pizza,10,4,702,28,9,674
104,Dr. Uschi Eberth,Frankfurt,4,Private Spa,None,5,2,371,95,9,276
105,Danica Jockel-Ullrich,Darmstadt,7,Group Session,None,10,2,787,25,10,762
106,Felix Heintze,Hamburg,7,Couples Session,None,6,3,107,101,2,6
107,Lisa Holt,Darmstadt,10,Couples Session,Pizza,9,1,754,86,7,668
108,Herta Hiller,Hamburg,12,Group Session,Coca Cola,9,1,388,46,4,342
109,Julia Lindau,Frankfurt,1,Private Spa,None,9,1,290,38,8,252
110,Annegrete Koch,Munich,10,Couples Session,Coffee,8,4,610,107,6,503
111,Raisa Dörr B.Eng.,Munich,7,Group Session,None,10,4,701,63,7,638
112,Ing. Karl-Hermann Schmiedecke,Darmstadt,8,Couples Session,Champagne,5,4,601,116,3,485
113,Nuran Paffrath,Hamburg,1,Group Session,Coffee,8,4,273,61,9,212
114,Herr Rene Schmidt B.Eng.,Berlin,6,Private Spa,Coffee,1,1,481,39,10,442
115,Amalie Eigenwillig,Berlin,5,Private Spa,Coffee,6,1,382,43,1,339
116,Andrej Scholl,Berlin,7,Birthday Party,None,6,2,741,106,1,635
117,Marika Speer-Scholz,Munich,7,Couples Session,Coffee,2,1,135,143,3,-8
118,Ottfried Schmidt,Munich,9,Birthday Party,Champagne,7,4,325,27,9,298
119,Pietro Hartung B.A.,Hamburg,12,Private Spa,Pizza,10,4,586,130,8,456
120,Anika Süßebier,Darmstadt,12,Group Session,Champagne,5,3,475,62,8,413
121,Herr Gotthold Losekann B.Sc.,Berlin,9,Private Spa,Coca Cola,1,1,195,131,3,64
122,Siegfried Eimer B.Eng.,Hamburg,10,Private Spa,Coffee,10,1,326,60,2,266
123,Bruno Beer,Hamburg,4,Group Session,Champagne,8,2,591,33,8,558
124,Univ.Prof. Hellmut Klotz,Darmstadt,8,Birthday Party,None,5,2,733,45,6,688
125,Edwin Gotthard,Hamburg,4,Couples Session,Coca Cola,10,4,688,104,4,584
126,Insa Ritter,Darmstadt,5,Private Spa,Champagne,10,3,152,72,6,80
127,Irma Müller,Frankfurt,7,Private Spa,Coffee,4,1,620,68,5,552
128,Reimund Benthin MBA.,Darmstadt,8,Couples Session,None,1,1,92,124,1,-32
129,Lydia Reinhardt B.A.,Berlin,1,Private Spa,Coffee,10,3,449,87,9,362
130,Jenny van der Dussen,Berlin,7,Couples Session,Coca Cola,8,1,404,92,4,312
131,Dolores Werner,Darmstadt,6,Couples Session,Champagne,3,2,215,96,9,119
132,Jörgen Schmiedt,Frankfurt,11,Couples Session,Coffee,9,3,476,80,7,396
133,Prof. Jonas Ullrich,Frankfurt,11,Group Session,Coca Cola,10,1,662,44,7,618
134,Dipl.-Ing. Erika Dörr B.Sc.,Berlin,7,Birthday Party,None,7,2,510,32,4,478
135,August Schäfer,Frankfurt,12,Birthday Party,Champagne,3,2,454,120,2,334
136,Ing. Birgitta Biggen,Hamburg,3,Group Session,Champagne,4,4,639,145,8,494
137,Karsten Dippel MBA.,Munich,8,Birthday Party,Coca Cola,1,1,779,59,8,720
138,Uschi Wernecke,Hamburg,3,Birthday Party,Champagne,10,3,256,33,10,223
139,Adriane Weihmann-Loos,Berlin,10,Birthday Party,None,2,2,562,112,8,450
140,Sonja Buchholz,Frankfurt,9,Private Spa,None,4,2,154,20,2,134
141,Hannes Naser,Darmstadt,1,Group Session,Champagne,1,4,97,129,8,-32
142,Sükrü Dörr,Munich,7,Birthday Party,Coffee,8,3,681,42,8,639
143,Hilda Holsten,Darmstadt,10,Group Session,Coffee,6,4,149,95,6,54
144,Prof. Christina Heinz B.Eng.,Berlin,10,Birthday Party,None,7,2,94,142,2,-48
145,Hans-Henning Möchlichen,Frankfurt,11,Birthday Party,Coffee,3,1,348,71,8,277
146,Dipl.-Ing. Francis Plath B.Eng.,Darmstadt,1,Group Session,Coca Cola,7,3,300,44,1,256
147,Bärbel Roskoth,Darmstadt,2,Couples Session,Pizza,4,1,120,26,2,94
148,Suzanne Döhn,Munich,11,Group Session,Champagne,7,1,141,72,7,69
149,Frau Irmela Kusch B.A.,Munich,7,Couples Session,Coca Cola,9,4,487,63,7,424
150,Ing. Silvester Schleich MBA.,Frankfurt,3,Private Spa,None,10,2,598,94,1,504
151,Frida Römer,Munich,8,Group Session,Pizza,8,1,373,40,9,333
152,Christopher Bolzmann,Darmstadt,3,Couples Session,None,1,3,723,141,9,582
153,Prof. Kaspar Lindner,Darmstadt,1,Birthday Party,Pizza,3,4,593,49,1,544
154,Dusan Bohnbach-Heidrich,Berlin,5,Private Spa,Coca Cola,9,3,505,98,2,407
155,Herr Orhan Täsche B.Eng.,Darmstadt,7,Group Session,Pizza,4,1,513,121,10,392
156,Dr. Joachim Ziegert B.Sc.,Frankfurt,6,Couples Session,Coffee,9,3,798,140,10,658
157,Berta Kraushaar MBA.,Hamburg,4,Couples Session,Coca Cola,6,4,491,145,5,346
158,Dipl.-Ing. Käthi Lorch B.Sc.,Berlin,8,Group Session,Champagne,8,4,164,87,9,77
159,Witold Buchholz,Berlin,6,Couples Session,None,9,2,735,43,9,692
160,Eitel Hering,Frankfurt,6,Group Session,Coffee,7,3,629,119,4,510
161,Jörgen Reinhardt,Frankfurt,7,Couples Session,Champagne,6,4,630,67,8,563
162,Univ.Prof. Mark Seip MBA.,Munich,5,Birthday Party,Pizza,3,4,710,114,6,596
163,Lene Reising,Berlin,7,Group Session,Coffee,8,2,236,117,6,119
164,Valerie Weinhold,Munich,5,Group Session,Champagne,9,4,364,114,1,250
165,Christiane Schottin,Darmstadt,2,Private Spa,Coca Cola,6,1,165,67,4,98
166,Erik Heß,Berlin,8,Birthday Party,Pizza,9,3,397,134,8,263
167,Felix Nohlmans,Berlin,1,Group Session,Champagne,6,2,160,31,6,129
168,Catherine Lindner,Hamburg,12,Couples Session,Pizza,5,1,603,87,9,516
169,Madeleine Pieper,Berlin,9,Couples Session,Champagne,10,1,288,132,10,156
170,Frau Lore Hoffmann,Darmstadt,1,Couples Session,None,8,3,239,139,10,100
171,Felicitas Hahn,Munich,6,Private Spa,Coca Cola,4,2,629,87,8,542
172,Ingeburg Stey,Munich,4,Group Session,Coffee,4,4,414,77,6,337
173,Abbas Siering B.Sc.,Hamburg,11,Couples Session,Champagne,5,2,480,88,8,392
174,Viktoria Butte,Darmstadt,2,Private Spa,Pizza,9,4,680,35,2,645
175,Almuth Kühnert,Munich,11,Private Spa,Coca Cola,5,3,729,58,2,671
176,Marie-Luise Nerger-Schwital,Frankfurt,1,Group Session,Coffee,4,3,745,44,4,701
177,Ing. Zofia Stiffel,Darmstadt,1,Couples Session,Pizza,5,1,777,41,1,736
178,Johannes Hering,Darmstadt,4,Birthday Party,Coca Cola,5,1,738,108,6,630
179,Wencke Heidrich,Hamburg,4,Couples Session,Pizza,4,1,147,125,6,22
180,Hans-Henning Caspar-Gerlach,Munich,1,Birthday Party,Coca Cola,8,3,397,78,5,319
181,Dr. Reza Wohlgemut,Darmstadt,10,Birthday Party,Coffee,6,4,795,35,9,760
182,Ilja Margraf-Geisel,Munich,3,Couples Session,Coffee,8,3,527,119,9,408
183,Nikolaj Kabus,Frankfurt,4,Birthday Party,Pizza,6,3,324,127,6,197
184,Edelbert Putz,Hamburg,3,Private Spa,Coca Cola,9,1,139,141,2,-2
185,Konstantinos Junken,Frankfurt,8,Private Spa,Champagne,5,2,330,80,1,250
186,Torben Kabus B.A.,Hamburg,11,Couples Session,Coffee,5,1,168,141,3,27
187,Jolanda Hörle,Darmstadt,2,Group Session,Champagne,2,2,524,96,8,428
188,Ing. Gesa Becker MBA.,Hamburg,10,Private Spa,Champagne,10,4,198,40,3,158
189,Maria-Theresia Junitz-Dussen van,Berlin,4,Couples Session,None,9,4,544,121,7,423
190,Conrad Wähner,Munich,8,Birthday Party,Pizza,7,4,706,28,2,678
191,Wilhelmine Stoll,Munich,12,Private Spa,Pizza,7,1,703,148,5,555
192,Siegmar Scholtz,Berlin,5,Couples Session,Pizza,6,1,136,57,10,79
193,Falko Holzapfel,Frankfurt,6,Couples Session,Coca Cola,3,1,396,50,4,346
194,Mirella Fritsch,Berlin,3,Group Session,Coffee,5,3,762,134,4,628
195,Annegret Steinberg B.A.,Darmstadt,10,Birthday Party,Coffee,1,1,753,64,2,689
196,William Pölitz,Darmstadt,10,Birthday Party,None,5,3,259,62,7,197
197,Ing. Mathias Löwer,Munich,12,Birthday Party,None,2,4,202,74,4,128
198,Dr. Magdalena Ring B.A.,Darmstadt,12,Couples Session,None,6,1,92,69,8,23
199,Insa Losekann,Munich,2,Couples Session,Champagne,8,3,220,52,4,168
200,Erhardt Hesse-Ring,Berlin,3,Birthday Party,Pizza,5,4,798,30,6,768
201,Frederik Ullrich,Berlin,5,Couples Session,Coca Cola,8,4,91,128,2,-37
202,Ing. Cosima Zimmer,Berlin,2,Group Session,Coffee,4,1,247,40,7,207
203,Ian Haering B.Sc.,Munich,10,Couples Session,Coca Cola,4,2,588,131,1,457
204,Carina Klemt,Berlin,1,Couples Session,Pizza,9,2,435,71,10,364
205,Tillmann Losekann B.Sc.,Berlin,5,Private Spa,Pizza,5,4,615,57,2,558
206,Angelica Hörle,Frankfurt,10,Group Session,Coffee,9,2,609,86,8,523
207,Ing. Margaret Hendriks B.Eng.,Berlin,11,Private Spa,Champagne,5,2,345,101,8,244
208,Serge Thies,Darmstadt,7,Birthday Party,None,3,3,250,37,10,213
209,Niko Jopich MBA.,Munich,7,Birthday Party,Champagne,2,3,460,42,9,418
210,Gerlinde Trupp,Frankfurt,12,Group Session,Pizza,10,3,209,119,3,90
211,Bärbel Dobes,Hamburg,4,Couples Session,Pizza,10,4,355,121,8,234
212,Marten Klemm B.A.,Munich,2,Private Spa,Champagne,4,2,200,103,1,97
213,Sonja Wirth,Darmstadt,10,Group Session,None,4,1,110,90,9,20
214,Darius Hartung,Munich,12,Private Spa,None,1,2,423,137,1,286
215,Dr. Peer Seifert B.Sc.,Darmstadt,11,Couples Session,Pizza,9,4,519,23,9,496
216,Hans Jürgen Täsche,Darmstadt,4,Private Spa,None,4,3,358,127,7,231
217,Reinhild Franke,Hamburg,2,Group Session,None,4,4,616,48,10,568
218,Birgitt Bonbach,Munich,12,Couples Session,Coffee,1,3,145,126,8,19
219,Genoveva Hamann B.Eng.,Hamburg,5,Couples Session,Coffee,2,4,349,58,9,291
220,Roy Hettner MBA.,Hamburg,11,Group Session,Coca Cola,7,1,670,57,3,613
221,Wolf-Dieter Davids,Munich,10,Couples Session,Champagne,6,3,722,45,10,677
222,Vladimir Dussen van B.Eng.,Berlin,2,Private Spa,Pizza,8,3,158,47,3,111
223,Ortwin Misicher,Berlin,10,Birthday Party,None,2,2,588,45,3,543
224,Frau Evamaria Jacob,Hamburg,1,Group Session,Coca Cola,3,4,546,93,2,453
225,Dr. Catharina Lange,Frankfurt,6,Private Spa,Coffee,1,2,603,108,7,495
226,Luisa Preiß,Hamburg,9,Couples Session,None,9,4,448,125,10,323
227,Ivan Martin,Hamburg,7,Birthday Party,Champagne,3,1,136,87,10,49
228,Mia Kitzmann,Hamburg,11,Private Spa,Coffee,7,2,591,118,6,473
229,Dipl.-Ing. Burkhardt Plath,Berlin,6,Group Session,Pizza,8,3,660,144,9,516
230,Univ.Prof. Elise Davids,Berlin,2,Couples Session,None,8,1,250,141,7,109
231,Dr. Mirella Schmiedecke B.A.,Berlin,9,Group Session,Coca Cola,4,4,456,29,7,427
232,Eleonora Spieß,Hamburg,11,Private Spa,Pizza,5,3,241,64,10,177
233,Prof. Zeljko Ernst,Frankfurt,6,Birthday Party,None,6,4,341,90,4,251
234,Hans-Rudolf Löchel,Berlin,1,Private Spa,None,5,3,185,123,5,62
235,Holm Trub,Munich,7,Private Spa,None,1,4,667,56,7,611
236,Liesel Fechner,Munich,8,Couples Session,None,2,3,770,122,6,648
237,Aleksandra Zobel MBA.,Munich,2,Group Session,None,10,4,198,29,5,169
238,Sylwia Mende,Darmstadt,7,Private Spa,Pizza,4,2,313,121,8,192
239,Salvatore Schacht B.A.,Hamburg,6,Private Spa,Champagne,9,3,601,104,3,497
240,Annita Gute B.Sc.,Munich,11,Birthday Party,Champagne,1,3,82,80,3,2
241,Dipl.-Ing. Jane Pruschke MBA.,Hamburg,8,Birthday Party,Pizza,3,2,125,32,7,93
242,Dr. Carmen Nette MBA.,Munich,12,Group Session,Champagne,7,4,92,141,10,-49
243,Marie-Luise Jessel,Frankfurt,3,Group Session,Coca Cola,3,3,330,88,9,242
244,Horst-Dieter Werner,Hamburg,7,Couples Session,Coca Cola,1,2,127,115,5,12
245,Cilli Huhn,Munich,3,Group Session,Pizza,7,4,563,25,9,538
246,Gerd Steckel,Berlin,12,Birthday Party,Coca Cola,8,3,452,106,6,346
247,Concetta Salz,Hamburg,9,Group Session,Pizza,3,3,472,97,9,375
248,Ing. Peer Jäkel MBA.,Darmstadt,11,Private Spa,Coca Cola,5,4,233,99,4,134
249,Dr. Anna-Lena Bien B.Eng.,Berlin,5,Group Session,Coffee,1,2,263,91,4,172
250,Mariechen Winkler B.Eng.,Berlin,10,Group Session,Pizza,1,3,116,145,4,-29
251,Tomas Junk-Gerlach,Darmstadt,9,Couples Session,None,5,4,646,45,10,601
252,Klaus-Werner Kühnert B.Sc.,Berlin,8,Private Spa,Coca Cola,10,3,751,78,5,673
253,Cäcilie Ritter,Berlin,8,Couples Session,Coffee,10,4,509,54,6,455
254,Antonios Kranz,Munich,7,Birthday Party,Pizza,2,3,309,96,3,213
255,Harro Ring B.Eng.,Munich,12,Group Session,Coca Cola,6,1,409,133,3,276
256,Marietta Sorgatz,Hamburg,10,Group Session,None,5,2,334,102,9,232
257,Jörg-Peter Buchholz,Hamburg,5,Birthday Party,Coca Cola,8,2,506,88,9,418
258,Caren Ladeck,Hamburg,6,Couples Session,Coffee,9,1,407,126,6,281
259,Univ.Prof. Heinz-Günter Killer B.Eng.,Munich,4,Private Spa,Champagne,9,4,357,42,2,315
260,Korbinian Ehlert,Hamburg,2,Couples Session,Champagne,8,2,159,68,6,91
261,Ignatz Speer B.Sc.,Berlin,5,Couples Session,Coffee,3,4,665,133,9,532
262,Dr. Zbigniew Gierschner B.Eng.,Munich,8,Private Spa,Coffee,9,3,461,74,8,387
263,Univ.Prof. Hans Peter Ruppert B.Sc.,Hamburg,4,Group Session,Pizza,8,1,202,124,10,78
264,Gretchen Gerlach-Ullmann,Berlin,8,Couples Session,Champagne,5,4,594,144,10,450
265,Reinhard Schüler,Hamburg,10,Birthday Party,Pizza,4,4,769,115,7,654
266,Jochem Beier,Frankfurt,10,Private Spa,Coca Cola,2,2,133,34,9,99
267,Jonathan Fiebig,Hamburg,11,Group Session,Coffee,6,3,263,60,5,203
268,Dipl.-Ing. Knut Holt B.Sc.,Frankfurt,7,Private Spa,Pizza,3,2,308,36,7,272
269,Leon Johann MBA.,Hamburg,6,Birthday Party,Coffee,8,3,608,99,1,509
270,Josephine Langern,Darmstadt,1,Private Spa,Pizza,5,2,127,149,9,-22
271,Frau Thea Fliegner B.Sc.,Hamburg,8,Private Spa,Coca Cola,3,4,490,123,2,367
272,Dr. Mohammad Stiffel,Munich,6,Couples Session,Coca Cola,1,4,150,54,1,96
273,Regina Kraus,Munich,3,Birthday Party,None,6,1,556,27,7,529
274,Dörte Bohnbach,Frankfurt,8,Birthday Party,Champagne,5,4,369,64,3,305
275,Nancy Pärtzelt MBA.,Munich,4,Birthday Party,None,10,4,398,69,1,329
276,Otmar Matthäi,Berlin,6,Private Spa,Champagne,4,4,415,71,1,344
277,Alexa Wilmsen,Darmstadt,5,Birthday Party,Coca Cola,3,4,168,34,4,134
278,Marie Bruder-Wulff,Darmstadt,6,Birthday Party,Pizza,10,1,646,83,5,563
279,Prof. Walfried Plath MBA.,Berlin,5,Birthday Party,Coffee,7,3,547,28,3,519
280,Felix Kabus,Frankfurt,10,Couples Session,Coca Cola,7,1,88,136,5,-48
281,Stanislav Gorlitz,Berlin,12,Birthday Party,Coca Cola,9,1,457,32,5,425
282,Wanda Knappe,Berlin,5,Private Spa,Pizza,6,2,285,112,3,173
283,Tatjana Beier B.Eng.,Darmstadt,9,Couples Session,Coca Cola,2,3,378,70,1,308
284,Univ.Prof. Nikolai Ackermann,Hamburg,1,Birthday Party,Coca Cola,7,2,657,90,5,567
285,Prof. Catherine Grein Groth B.Sc.,Darmstadt,9,Birthday Party,Pizza,2,1,391,114,4,277
286,Ali Hoffmann,Darmstadt,4,Couples Session,Coca Cola,3,4,717,138,9,579
287,Erkan Werner,Munich,2,Birthday Party,Champagne,3,3,328,149,1,179
288,Prof. Klaus-D. Matthäi,Berlin,4,Private Spa,Champagne,8,4,555,121,6,434
289,Alfred Stey B.Eng.,Darmstadt,12,Private Spa,Champagne,6,1,457,51,8,406
290,Tilmann Beer-Süßebier,Berlin,7,Birthday Party,Champagne,4,1,685,27,2,658
291,Kurt Noack,Munich,8,Private Spa,Coca Cola,1,1,585,81,10,504
292,Dorit Scheuermann,Berlin,9,Couples Session,Coffee,5,3,280,115,9,165
293,Milena Patberg,Darmstadt,4,Birthday Party,Champagne,7,2,639,145,4,494
294,Lidia Baum,Berlin,12,Couples Session,Champagne,4,2,331,134,9,197
295,Dipl.-Ing. Renata Röhricht B.A.,Munich,8,Private Spa,Coca Cola,8,4,234,65,7,169
296,Ernst-Dieter Sorgatz,Hamburg,11,Birthday Party,None,5,3,86,141,4,-55
297,Frau Cristina Höfig MBA.,Berlin,12,Couples Session,Coca Cola,6,4,499,109,9,390
298,Heinz-Dieter Fröhlich,Darmstadt,8,Private Spa,Pizza,5,4,104,108,5,-4
299,Natascha Dobes,Munich,8,Birthday Party,Champagne,10,2,318,61,1,257
300,Ildiko Karge B.Eng.,Darmstadt,1,Group Session,Pizza,10,3,634,86,7,548
301,Univ.Prof. Vitali Kabus B.Sc.,Darmstadt,2,Private Spa,Champagne,1,1,434,43,7,391
302,Pawel Jäkel,Berlin,5,Private Spa,None,5,4,731,92,7,639
303,Hans Georg Lachmann,Darmstadt,4,Group Session,Coffee,6,1,790,27,6,763
304,Univ.Prof. Heinz-Günter Tintzmann,Berlin,7,Group Session,None,4,3,89,118,9,-29
